time_s,current_uA,applied_V,force_V,force_mN
47.0,6250.0,0.8,7.644,428.064
47.1,6250.0,0.8,7.644,428.064
47.2,6250.0,0.8,7.644,428.064
47.3,6250.0,0.8,7.644,428.064
47.4,6250.0,0.8,7.644,428.064
47.5,6250.0,0.8,7.644,428.064
47.6,6250.0,0.8,7.644,428.064
47.7,6250.0,0.8,7.644,428.064
47.8,6250.0,0.8,7.645,428.12
47.9,6250.0,0.8,7.645,428.12
48.0,6250.0,0.8,7.645,428.12
48.1,6250.0,0.8,7.645,428.12
48.2,6250.0,0.8,7.645,428.12
48.3,6250.0,0.8,7.646,428.176
48.4,6250.0,0.8,7.646,428.176
48.5,6250.0,0.8,7.646,428.176
48.6,6250.0,0.8,7.646,428.176
48.7,6250.0,0.8,7.646,428.176
48.8,6250.0,0.8,7.642,427.952
48.9,6250.0,0.8,7.642,427.952
49.0,6250.0,0.8,7.642,427.952
49.1,6250.0,0.8,7.642,427.952
49.2,6250.0,0.8,7.642,427.952
49.3,6250.0,0.8,7.645,428.12
49.4,6250.0,0.8,7.645,428.12
49.5,6250.0,0.8,7.645,428.12
49.6,6250.0,0.8,7.645,428.12
49.7,6250.0,0.8,7.645,428.12
49.8,6250.0,0.8,7.646,428.176
49.9,6250.0,0.8,7.646,428.176
50.0,6250.0,0.8,7.646,428.176
50.1,6250.0,0.8,7.646,428.176
50.2,6250.0,0.8,7.646,428.176
50.3,6250.0,0.8,7.644,428.064
50.4,6250.0,0.8,7.644,428.064
50.5,6250.0,0.8,7.644,428.064
50.6,6250.0,0.8,7.644,428.064
50.7,6250.0,0.8,7.644,428.064
50.8,6250.0,0.8,7.645,428.12
50.9,6250.0,0.8,7.645,428.12
51.0,6250.0,0.8,7.645,428.12
51.1,6250.0,0.8,7.645,428.12
51.2,6250.0,0.8,7.645,428.12
51.3,6250.0,0.8,7.642,427.952
51.4,6250.0,0.8,7.642,427.952
51.5,6250.0,0.8,7.642,427.952
51.6,6250.0,0.8,7.642,427.952
51.7,6250.0,0.8,7.642,427.952
51.8,6250.0,0.8,7.645,428.12
51.9,6250.0,0.8,7.645,428.12
52.0,6250.0,0.8,7.645,428.12
52.1,6250.0,0.8,7.645,428.12
52.2,6250.0,0.8,7.645,428.12
52.3,6250.0,0.8,7.644,428.064
