time_s,force_V,confident,digits
200.0,3.18,True,"[0, 3, 1, 8, 0]"
200.5,3.18,True,"[0, 3, 1, 8, 0]"
201.0,3.18,True,"[0, 3, 1, 8, 0]"
201.5,3.18,True,"[0, 3, 1, 8, 0]"
202.0,3.18,True,"[0, 3, 1, 8, 0]"
202.5,3.18,True,"[0, 3, 1, 8, 0]"
203.0,3.18,True,"[0, 3, 1, 8, 0]"
203.5,3.18,True,"[0, 3, 1, 8, 0]"
204.0,3.18,True,"[0, 3, 1, 8, 0]"
204.5,3.18,True,"[0, 3, 1, 8, 0]"
205.0,3.18,True,"[0, 3, 1, 8, 0]"
205.5,3.18,True,"[0, 3, 1, 8, 0]"
206.0,3.18,True,"[0, 3, 1, 8, 0]"
206.5,3.18,True,"[0, 3, 1, 8, 0]"
207.0,3.18,True,"[0, 3, 1, 8, 0]"
207.5,3.14,True,"[0, 3, 1, 4, 0]"
208.0,3.18,True,"[0, 3, 1, 8, 0]"
208.5,3.18,True,"[0, 3, 1, 8, 0]"
209.0,3.18,True,"[0, 3, 1, 8, 0]"
209.5,3.15,True,"[0, 3, 1, 5, 0]"
210.0,3.15,True,"[0, 3, 1, 5, 0]"
210.5,3.18,True,"[0, 3, 1, 8, 0]"
211.0,3.18,True,"[0, 3, 1, 8, 0]"
211.5,3.15,True,"[0, 3, 1, 5, 0]"
212.0,3.14,True,"[0, 3, 1, 4, 0]"
212.5,3.18,True,"[0, 3, 1, 8, 0]"
213.0,3.18,True,"[0, 3, 1, 8, 0]"
213.5,3.18,True,"[0, 3, 1, 8, 0]"
214.0,3.18,True,"[0, 3, 1, 8, 0]"
214.5,3.14,True,"[0, 3, 1, 4, 0]"
215.0,3.15,True,"[0, 3, 1, 5, 0]"
215.5,3.14,True,"[0, 3, 1, 4, 0]"
216.0,3.14,True,"[0, 3, 1, 4, 0]"
216.5,3.18,True,"[0, 3, 1, 8, 0]"
217.0,3.18,True,"[0, 3, 1, 8, 0]"
217.5,3.15,True,"[0, 3, 1, 5, 0]"
218.0,3.15,True,"[0, 3, 1, 5, 0]"
218.5,3.18,True,"[0, 3, 1, 8, 0]"
219.0,3.18,True,"[0, 3, 1, 8, 0]"
219.5,3.18,True,"[0, 3, 1, 8, 0]"
220.0,3.14,True,"[0, 3, 1, 4, 0]"
220.5,3.18,True,"[0, 3, 1, 8, 0]"
221.0,3.15,True,"[0, 3, 1, 5, 0]"
221.5,3.18,True,"[0, 3, 1, 8, 0]"
222.0,3.18,True,"[0, 3, 1, 8, 0]"
222.5,3.15,True,"[0, 3, 1, 5, 0]"
223.0,3.18,True,"[0, 3, 1, 8, 0]"
223.5,3.14,True,"[0, 3, 1, 4, 0]"
224.0,3.18,True,"[0, 3, 1, 8, 0]"
224.5,3.18,True,"[0, 3, 1, 8, 0]"
225.0,3.18,True,"[0, 3, 1, 8, 0]"
225.5,3.18,True,"[0, 3, 1, 8, 0]"
226.0,3.14,True,"[0, 3, 1, 4, 0]"
226.5,3.18,True,"[0, 3, 1, 8, 0]"
227.0,3.18,True,"[0, 3, 1, 8, 0]"
227.5,3.18,True,"[0, 3, 1, 8, 0]"
228.0,3.14,True,"[0, 3, 1, 4, 0]"
228.5,3.18,True,"[0, 3, 1, 8, 0]"
229.0,3.18,True,"[0, 3, 1, 8, 0]"
229.5,3.15,True,"[0, 3, 1, 5, 0]"
230.0,3.15,True,"[0, 3, 1, 5, 0]"
230.5,3.15,True,"[0, 3, 1, 5, 0]"
231.0,3.18,True,"[0, 3, 1, 8, 0]"
231.5,3.18,True,"[0, 3, 1, 8, 0]"
232.0,3.14,True,"[0, 3, 1, 4, 0]"
232.5,3.14,True,"[0, 3, 1, 4, 0]"
233.0,3.18,True,"[0, 3, 1, 8, 0]"
233.5,3.15,True,"[0, 3, 1, 5, 0]"
234.0,3.15,True,"[0, 3, 1, 5, 0]"
234.5,3.18,True,"[0, 3, 1, 8, 0]"
235.0,3.14,True,"[0, 3, 1, 4, 0]"
235.5,3.18,True,"[0, 3, 1, 8, 0]"
236.0,3.18,True,"[0, 3, 1, 8, 0]"
236.5,3.18,True,"[0, 3, 1, 8, 0]"
237.0,3.18,True,"[0, 3, 1, 8, 0]"
237.5,3.18,True,"[0, 3, 1, 8, 0]"
238.0,3.18,True,"[0, 3, 1, 8, 0]"
238.5,3.14,True,"[0, 3, 1, 4, 0]"
239.0,3.18,True,"[0, 3, 1, 8, 0]"
239.5,3.18,True,"[0, 3, 1, 8, 0]"
240.0,3.14,True,"[0, 3, 1, 4, 0]"
240.5,3.18,True,"[0, 3, 1, 8, 0]"
241.0,3.14,True,"[0, 3, 1, 4, 0]"
241.5,3.18,True,"[0, 3, 1, 8, 0]"
242.0,3.15,True,"[0, 3, 1, 5, 0]"
242.5,3.15,True,"[0, 3, 1, 5, 0]"
243.0,3.18,True,"[0, 3, 1, 8, 0]"
243.5,3.18,True,"[0, 3, 1, 8, 0]"
244.0,3.14,True,"[0, 3, 1, 4, 0]"
244.5,3.18,True,"[0, 3, 1, 8, 0]"
245.0,3.18,True,"[0, 3, 1, 8, 0]"
245.5,3.14,True,"[0, 3, 1, 4, 0]"
246.0,3.14,True,"[0, 3, 1, 4, 0]"
246.5,3.18,True,"[0, 3, 1, 8, 0]"
247.0,3.15,True,"[0, 3, 1, 5, 0]"
247.5,3.14,True,"[0, 3, 1, 4, 0]"
248.0,3.15,True,"[0, 3, 1, 5, 0]"
