time_s,current_uA,applied_V,force_V_raw,force_V,force_mN,stress_MPa
20.7,5958.34,0.8,11.816,2.3632,134.58424,0.17731783926218708
20.8,5957.87,0.8,11.813,2.3632,134.58424,0.17731783926218708
20.9,5959.3,0.8,11.813,2.3632,134.58424,0.17731783926218708
21.0,5965.02,0.8,11.813,2.3632,134.58424,0.17731783926218708
21.1,5965.97,0.8,11.813,2.3632,134.58424,0.17731783926218708
21.2,5964.06,0.8,11.813,2.3632,134.58424,0.17731783926218708
21.3,5971.69,0.8,11.814,2.363,134.57285000000002,0.17730283267457184
21.4,5974.56,0.8,11.814,2.363,134.57285000000002,0.17730283267457184
21.5,5975.51,0.8,11.814,2.363,134.57285000000002,0.17730283267457184
21.6,5975.99,0.8,11.814,2.363,134.57285000000002,0.17730283267457184
21.7,5975.99,0.8,11.814,2.363,134.57285000000002,0.17730283267457184
21.8,5975.03,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
21.9,5975.99,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
22.0,5977.89,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
22.1,5979.32,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
22.2,5977.89,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
22.3,5976.94,0.8,11.818,2.363,134.57285000000002,0.17730283267457184
22.4,5977.89,0.8,11.818,2.363,134.57285000000002,0.17730283267457184
22.5,5976.46,0.8,11.818,2.363,134.57285000000002,0.17730283267457184
22.6,5978.85,0.8,11.818,2.363,134.57285000000002,0.17730283267457184
22.7,5981.23,0.8,11.818,2.363,134.57285000000002,0.17730283267457184
22.8,5982.66,0.8,11.815,2.363,134.57285000000002,0.17730283267457184
22.9,5985.05,0.8,11.815,2.363,134.57285000000002,0.17730283267457184
23.0,5981.23,0.8,11.815,2.363,134.57285000000002,0.17730283267457184
23.1,5987.43,0.8,11.815,2.363,134.57285000000002,0.17730283267457184
23.2,5986.0,0.8,11.815,2.363,134.57285000000002,0.17730283267457184
23.3,5986.95,0.8,11.816,2.363,134.57285000000002,0.17730283267457184
23.4,5988.86,0.8,11.816,2.363,134.57285000000002,0.17730283267457184
23.5,5989.81,0.8,11.816,2.363,134.57285000000002,0.17730283267457184
23.6,5986.48,0.8,11.816,2.363,134.57285000000002,0.17730283267457184
23.7,5989.34,0.8,11.816,2.363,134.57285000000002,0.17730283267457184
23.8,5991.72,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
23.9,5991.72,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
24.0,5995.54,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
24.1,5997.44,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
24.2,5997.44,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
24.3,5995.54,0.8,11.813,2.363,134.57285000000002,0.17730283267457184
24.4,5995.06,0.8,11.813,2.363,134.57285000000002,0.17730283267457184
24.5,5997.09,0.8,11.813,2.363,134.57285000000002,0.17730283267457184
24.6,5998.4,0.8,11.813,2.363,134.57285000000002,0.17730283267457184
24.7,5999.35,0.8,11.813,2.363,134.57285000000002,0.17730283267457184
24.8,5997.44,0.8,11.815,2.363,134.57285000000002,0.17730283267457184
24.9,5997.92,0.8,11.815,2.363,134.57285000000002,0.17730283267457184
25.0,5996.97,0.8,11.815,2.363,134.57285000000002,0.17730283267457184
25.1,5999.83,0.8,11.815,2.363,134.57285000000002,0.17730283267457184
25.2,6003.64,0.8,11.815,2.363,134.57285000000002,0.17730283267457184
25.3,6005.55,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
25.4,6011.75,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
25.5,6011.27,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
25.6,6013.18,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
25.7,6014.61,0.8,11.817,2.363,134.57285000000002,0.17730283267457184
25.8,6015.09,0.8,11.815,2.3628,134.56146,0.17728782608695653
25.9,6017.95,0.8,11.815,2.3628,134.56146,0.17728782608695653
26.0,6021.76,0.8,11.815,2.3628,134.56146,0.17728782608695653
26.1,6020.33,0.8,11.815,2.3628,134.56146,0.17728782608695653
26.2,6023.67,0.8,11.815,2.3628,134.56146,0.17728782608695653
26.3,6018.9,0.8,11.813,2.3628,134.56146,0.17728782608695653
26.4,6020.33,0.8,11.813,2.3628,134.56146,0.17728782608695653
26.5,6017.47,0.8,11.813,2.3628,134.56146,0.17728782608695653
26.6,6022.24,0.8,11.813,2.3628,134.56146,0.17728782608695653
26.7,6020.81,0.8,11.813,2.3628,134.56146,0.17728782608695653
26.8,6020.33,0.8,11.814,2.363,134.57285000000002,0.17730283267457184
26.9,6021.29,0.8,11.814,2.363,134.57285000000002,0.17730283267457184
27.0,6022.24,0.8,11.814,2.363,134.57285000000002,0.17730283267457184
27.1,6023.19,0.8,11.814,2.363,134.57285000000002,0.17730283267457184
