frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
360,14.4,1479.982,392.086,0.9004,14.3500,-14.2849,1.3652
361,14.44,1479.449,391.884,0.9009,14.3819,-14.3182,1.3525
362,14.48,1479.244,392.114,0.9004,14.3961,-14.3310,1.3669
363,14.52,1479.045,392.059,0.9006,14.4081,-14.3434,1.3635
364,14.56,1478.864,392.239,0.9002,14.4204,-14.3547,1.3748
365,14.6,1478.598,392.280,0.8998,14.4372,-14.3714,1.3773
366,14.64,1478.372,392.270,0.9005,14.4512,-14.3855,1.3767
367,14.68,1478.266,392.391,0.8994,14.4586,-14.3922,1.3842
368,14.72,1477.944,392.418,0.8980,14.4788,-14.4123,1.3859
369,14.76,1477.878,392.242,0.8999,14.4818,-14.4164,1.3749
370,14.8,1478.462,392.753,0.9016,14.4485,-14.3799,1.4068
371,14.84,1480.107,392.354,0.8985,14.3438,-14.2771,1.3819
372,14.88,1481.121,391.695,0.8989,14.2768,-14.2137,1.3407
373,14.92,1481.343,392.586,0.9003,14.2683,-14.1998,1.3964
374,14.96,1481.603,391.991,0.9011,14.2485,-14.1836,1.3592
375,15.0,1481.117,391.769,0.9006,14.2775,-14.2139,1.3454
376,15.04,1481.435,393.592,0.9011,14.2689,-14.1941,1.4593
377,15.08,1481.247,394.785,0.9015,14.2884,-14.2058,1.5338
378,15.12,1479.135,394.541,0.8993,14.4180,-14.3378,1.5186
379,15.16,1478.356,395.000,0.9021,14.4695,-14.3865,1.5473
