frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
217,8.68,1704.639,469.399,0.9920,3.1306,-1.8588,-2.5190
218,8.72,1709.016,475.999,0.9934,2.9691,-1.7695,-2.3843
219,8.76,1713.655,483.065,0.9941,2.7970,-1.6748,-2.2401
220,8.8,1718.277,489.294,0.9914,2.6387,-1.5805,-2.1129
221,8.84,1722.623,496.287,0.9925,2.4713,-1.4918,-1.9702
222,8.88,1727.138,503.799,0.9881,2.2935,-1.3997,-1.8169
223,8.92,1732.463,511.676,0.9832,2.0999,-1.2910,-1.6562
224,8.96,1738.167,519.815,0.9864,1.8973,-1.1746,-1.4901
225,9.0,1744.401,529.131,0.9902,1.6694,-1.0474,-1.2999
226,9.04,1751.261,539.232,0.9888,1.4212,-0.9074,-1.0938
227,9.08,1758.862,549.414,0.9872,1.1623,-0.7522,-0.8860
228,9.12,1766.491,558.499,0.9638,0.9202,-0.5965,-0.7006
229,9.16,1774.575,566.398,0.9384,0.6908,-0.4316,-0.5394
230,9.2,1781.721,574.121,0.9353,0.4769,-0.2857,-0.3818
231,9.24,1787.155,580.603,0.9530,0.3047,-0.1748,-0.2495
232,9.28,1790.627,584.276,0.9707,0.2032,-0.1040,-0.1745
233,9.32,1792.484,585.881,0.9817,0.1564,-0.0661,-0.1418
234,9.36,1794.598,588.450,0.9866,0.0922,-0.0229,-0.0894
235,9.4,1797.330,591.892,0.9909,0.0380,0.0328,-0.0191
236,9.44,1799.912,595.116,0.9913,0.0974,0.0855,0.0467
237,9.48,1801.848,597.212,0.9931,0.1537,0.1250,0.0895
238,9.52,1803.488,599.353,0.9945,0.2070,0.1585,0.1332
239,9.56,1805.522,601.959,0.9957,0.2734,0.2000,0.1864
240,9.6,1807.507,604.507,0.9942,0.3386,0.2405,0.2383
241,9.64,1808.843,606.454,0.9936,0.3861,0.2678,0.2781
242,9.68,1808.360,607.163,0.9968,0.3900,0.2579,0.2925
243,9.72,1805.900,607.774,0.9958,0.3690,0.2077,0.3050
244,9.76,1805.040,608.652,0.9950,0.3748,0.1902,0.3229
245,9.8,1804.039,609.628,0.9946,0.3826,0.1698,0.3429
246,9.84,1804.650,610.261,0.9966,0.3997,0.1822,0.3558
247,9.88,1805.029,610.314,0.9954,0.4043,0.1900,0.3569
248,9.92,1805.468,610.910,0.9983,0.4192,0.1989,0.3690
249,9.96,1805.804,611.590,0.9968,0.4347,0.2058,0.3829
250,10.0,1806.144,611.804,0.9978,0.4418,0.2127,0.3873
251,10.04,1806.443,611.998,0.9990,0.4483,0.2188,0.3912
252,10.08,1806.668,612.444,0.9980,0.4584,0.2234,0.4003
253,10.12,1806.719,612.676,0.9983,0.4631,0.2244,0.4051
254,10.16,1806.913,612.895,0.9981,0.4689,0.2284,0.4095
255,10.2,1806.922,613.035,0.9984,0.4715,0.2286,0.4124
256,10.24,1806.881,613.193,0.9985,0.4739,0.2277,0.4156
257,10.28,1807.217,612.824,0.9990,0.4707,0.2346,0.4081
258,10.32,1807.449,613.184,0.9994,0.4794,0.2393,0.4154
259,10.36,1807.600,613.848,0.9994,0.4927,0.2424,0.4290
