frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
230,9.2,1499.266,629.622,0.9898,0.3860,-0.1250,0.3652
231,9.24,1497.390,629.745,0.9886,0.4030,-0.1646,0.3678
232,9.28,1495.838,629.375,0.9872,0.4106,-0.1974,0.3600
233,9.32,1493.503,629.142,0.9855,0.4324,-0.2467,0.3551
234,9.36,1491.147,628.724,0.9832,0.4559,-0.2965,0.3463
235,9.4,1488.838,628.578,0.9817,0.4868,-0.3453,0.3432
236,9.44,1487.231,628.329,0.9808,0.5079,-0.3792,0.3379
237,9.48,1485.682,628.264,0.9819,0.5320,-0.4120,0.3366
238,9.52,1484.179,628.869,0.9781,0.5647,-0.4437,0.3493
239,9.56,1483.203,628.838,0.9782,0.5807,-0.4643,0.3487
240,9.6,1482.346,629.252,0.9762,0.6004,-0.4824,0.3574
241,9.64,1482.373,629.969,0.9729,0.6091,-0.4818,0.3726
242,9.68,1482.121,630.854,0.9721,0.6249,-0.4872,0.3913
243,9.72,1482.304,631.207,0.9712,0.6265,-0.4833,0.3987
244,9.76,1482.325,632.194,0.9716,0.6397,-0.4829,0.4196
245,9.8,1482.575,632.326,0.9732,0.6376,-0.4776,0.4224
246,9.84,1482.283,632.478,0.9712,0.6443,-0.4837,0.4256
247,9.88,1482.190,632.785,0.9696,0.6501,-0.4857,0.4321
248,9.92,1482.379,633.081,0.9670,0.6513,-0.4817,0.4383
249,9.96,1482.089,632.897,0.9670,0.6532,-0.4879,0.4344
250,10.0,1482.100,633.590,0.9682,0.6629,-0.4876,0.4491
251,10.04,1481.966,633.656,0.9639,0.6659,-0.4904,0.4505
252,10.08,1482.328,634.206,0.9669,0.6683,-0.4828,0.4621
253,10.12,1482.593,634.463,0.9698,0.6681,-0.4772,0.4675
254,10.16,1482.539,634.338,0.9696,0.6670,-0.4783,0.4649
255,10.2,1482.703,634.639,0.9678,0.6690,-0.4749,0.4712
256,10.24,1482.434,634.840,0.9678,0.6760,-0.4806,0.4755
257,10.28,1482.755,634.106,0.9670,0.6603,-0.4738,0.4600
258,10.32,1482.697,635.033,0.9662,0.6750,-0.4750,0.4796
259,10.36,1482.555,634.521,0.9710,0.6695,-0.4780,0.4687
260,10.4,1482.431,634.920,0.9665,0.6773,-0.4806,0.4772
261,10.44,1482.607,635.072,0.9677,0.6769,-0.4769,0.4804
262,10.48,1482.525,634.108,0.9686,0.6639,-0.4786,0.4600
263,10.52,1482.524,634.859,0.9676,0.6750,-0.4787,0.4759
264,10.56,1482.499,634.556,0.9717,0.6708,-0.4792,0.4695
265,10.6,1482.420,633.807,0.9710,0.6611,-0.4809,0.4536
266,10.64,1482.650,634.507,0.9714,0.6678,-0.4760,0.4684
267,10.68,1482.527,633.993,0.9667,0.6621,-0.4786,0.4576
268,10.72,1482.417,633.991,0.9683,0.6638,-0.4809,0.4575
269,10.76,1482.829,634.244,0.9690,0.6613,-0.4722,0.4629
270,10.8,1482.764,634.352,0.9711,0.6638,-0.4736,0.4652
271,10.84,1482.820,634.130,0.9695,0.6597,-0.4724,0.4605
272,10.88,1482.861,634.059,0.9681,0.6580,-0.4715,0.4590
273,10.92,1482.840,634.490,0.9702,0.6647,-0.4720,0.4681
274,10.96,1482.693,634.028,0.9690,0.6601,-0.4751,0.4583
275,11.0,1482.582,633.671,0.9710,0.6566,-0.4774,0.4508
276,11.04,1482.823,634.358,0.9702,0.6630,-0.4723,0.4653
277,11.08,1482.499,633.681,0.9720,0.6580,-0.4792,0.4510
278,11.12,1482.426,633.642,0.9723,0.6586,-0.4807,0.4502
279,11.16,1482.714,634.040,0.9689,0.6600,-0.4747,0.4586
280,11.2,1482.632,633.562,0.9725,0.6543,-0.4764,0.4485
281,11.24,1482.517,633.517,0.9728,0.6554,-0.4788,0.4475
282,11.28,1482.658,633.509,0.9736,0.6531,-0.4758,0.4474
283,11.32,1482.752,633.418,0.9726,0.6503,-0.4738,0.4454
284,11.36,1482.802,633.239,0.9714,0.6470,-0.4728,0.4417
285,11.4,1482.858,633.122,0.9709,0.6444,-0.4716,0.4392
286,11.44,1482.785,633.532,0.9733,0.6515,-0.4731,0.4478
287,11.48,1483.001,633.588,0.9694,0.6490,-0.4686,0.4490
288,11.52,1482.674,632.437,0.9753,0.6375,-0.4755,0.4247
289,11.56,1482.605,632.760,0.9741,0.6432,-0.4770,0.4315
290,11.6,1483.161,632.893,0.9730,0.6364,-0.4652,0.4343
291,11.64,1482.989,632.398,0.9732,0.6321,-0.4688,0.4239
