time_s,current_uA,voltage_V
67.5,2998.72,11.173142857142858
67.6,2998.72,11.160714285714286
67.7,2998.72,11.148285714285716
67.8,2998.72,11.135857142857144
67.9,2998.72,11.123428571428573
68.0,2998.72,11.111
68.1,2998.72,11.113
68.2,2998.72,11.115
68.3,2998.72,11.115
68.4,2998.72,11.115
68.5,2998.72,11.116
68.6,2998.72,11.116
68.7,2998.72,11.116
68.8,2998.72,11.1274375
68.9,2998.72,11.138875
69.0,2998.72,11.1503125
69.1,2998.72,11.16175
69.2,2998.72,11.1731875
69.3,2998.72,11.184625
69.4,2998.72,11.1960625
69.5,2998.72,11.19253125
69.6,2998.72,11.189
69.7,2998.72,11.1705
69.8,2998.72,11.152
69.9,2998.72,11.142666666666669
70.0,2998.72,11.133333333333333
70.1,2998.72,11.124
70.2,2998.72,11.1175
70.3,2998.72,11.111
70.4,2998.72,11.116
70.5,2998.72,11.116
70.6,2998.72,11.118
70.7,2998.72,11.12875
70.8,2998.72,11.1395
70.9,2998.72,11.15025
71.0,2998.72,11.161
71.1,2998.72,11.1795
71.2,2998.72,11.198
71.3,2998.72,11.198
71.4,2998.72,11.198
71.5,2998.72,11.198
71.6,2998.72,11.203
71.7,2998.72,11.208
71.8,2998.72,11.213
71.9,2998.72,11.218
72.0,2998.72,11.218
72.1,2998.72,11.225
72.2,2998.72,11.222666666666669
72.3,2998.72,11.220333333333333
72.4,2998.72,11.218
72.5,2998.72,11.217
72.6,2998.72,11.217
72.7,2998.72,11.217
72.8,2998.72,11.218
72.9,2998.72,11.218
73.0,2998.72,11.217
73.1,2998.72,11.216
73.2,2998.72,11.215
73.3,2998.72,11.214
73.4,2998.72,11.214
73.5,2998.72,11.214
73.6,2998.72,11.214
73.7,2998.72,11.214
73.8,2998.72,11.216
73.9,2998.72,11.216
74.0,2998.72,11.216
74.1,2998.72,11.225
74.2,2998.72,11.234
74.3,2998.72,11.234
74.4,2998.72,11.224
74.5,2998.72,11.215
74.6,2998.72,11.215
74.7,2998.72,11.215333333333334
74.8,2998.72,11.215666666666666
74.9,2998.72,11.216
75.0,2998.72,11.226
75.1,2998.72,11.222
75.2,2998.72,11.218
75.3,2998.72,11.213
75.4,2998.72,11.213
75.5,2998.72,11.213
75.6,2998.72,11.215
75.7,2998.72,11.215
75.8,2998.72,11.215
75.9,2998.72,11.218
76.0,2998.72,11.217583333333334
76.1,2998.72,11.217166666666667
76.2,2998.72,11.21675
76.3,2998.72,11.216333333333331
76.4,2998.72,11.215916666666669
76.5,2998.72,11.2155
76.6,2998.72,11.215083333333332
76.7,2998.72,11.214666666666666
76.8,2998.72,11.21425
76.9,2998.72,11.213833333333334
77.0,2998.72,11.213416666666664
77.1,2998.72,11.213
77.2,2998.72,11.213
77.3,2998.72,11.213
77.4,2998.72,11.215
77.5,2998.72,11.215
77.6,2998.72,11.219
77.7,2998.72,11.215
77.8,2998.72,11.215
77.9,2998.72,11.215
78.0,2998.72,11.215
78.1,2998.72,11.215
78.2,2998.72,11.215
78.3,2998.72,11.215
78.4,2998.72,11.218
78.5,2998.72,11.21825
78.6,2998.72,11.2185
78.7,2998.72,11.21875
78.8,2998.72,11.219
78.9,2998.72,11.216
79.0,2998.72,11.213
79.1,2998.72,11.218
79.2,2998.72,11.217
79.3,2998.72,11.216
79.4,2998.72,11.216
79.5,2998.72,11.218
79.6,2998.72,11.216
79.7,2998.72,11.214
79.8,2998.72,11.219
79.9,2998.72,11.215
80.0,2998.72,11.216333333333331
80.1,2998.72,11.217666666666666
80.2,2998.72,11.219
80.3,2998.72,11.214
80.4,2998.72,11.214
80.5,2998.72,11.214
80.6,2998.72,11.224
80.7,2998.72,11.214
80.8,2998.72,11.214
80.9,2998.72,11.214
81.0,2998.72,11.214
81.1,2998.72,11.214
81.2,2998.72,11.214
81.3,2998.72,11.214
81.4,2998.72,11.214
81.5,2998.72,11.214
81.6,2998.72,11.214
81.7,2998.72,11.214
81.8,2998.72,11.214
81.9,2998.72,11.214
82.0,2998.72,11.219
82.1,2998.72,11.217666666666666
82.2,2998.72,11.216333333333331
82.3,2998.72,11.215
82.4,2998.72,11.211625
82.5,2998.72,11.20825
82.6,2998.72,11.204875
82.7,2998.72,11.2015
82.8,2998.72,11.198125
82.9,2998.72,11.19475
83.0,2998.72,11.20471875
83.1,2998.72,11.2146875
83.2,2998.72,11.22620486111111
83.3,2998.72,11.237722222222224
83.4,2998.72,11.237444444444444
83.5,2998.72,11.237166666666669
83.6,2998.72,11.23688888888889
83.7,2998.72,11.236611111111111
83.8,2998.72,11.236333333333334
83.9,2998.72,11.223666666666666
84.0,2998.72,11.211
84.1,2998.72,11.217
84.2,2998.72,11.215
84.3,2998.72,11.215
84.4,2998.72,11.217
84.5,2998.72,11.211
84.6,2998.72,11.211
84.7,2998.72,11.211
84.8,2998.72,11.216
84.9,2998.72,11.216
85.0,2998.72,11.216
85.1,2998.72,11.216
85.2,2998.72,11.213
85.3,2998.72,11.213
85.4,2998.72,11.213
85.5,2998.72,11.219
85.6,2998.72,11.217
85.7,2998.72,11.215
85.8,2998.72,11.215
85.9,2998.72,11.215
86.0,2998.72,11.215
86.1,2998.72,11.215
86.2,2998.72,11.215
86.3,2998.72,11.215
86.4,2998.72,11.215
86.5,2998.72,11.222
86.6,2998.72,11.2175
86.7,2998.72,11.213
86.8,2998.72,11.213
86.9,2998.72,11.213
87.0,2998.72,11.213
87.1,2998.72,11.213
87.2,2998.72,11.2125
87.3,2998.72,11.212
87.4,2998.72,11.212
87.5,2998.72,11.212
87.6,2998.72,11.223
87.7,2998.72,11.234
87.8,2998.72,11.234
87.9,2998.72,11.214
88.0,2998.72,11.214
88.1,2998.72,11.234
88.2,2998.72,11.234
88.3,2998.72,11.214
88.4,2998.72,11.205
88.5,2998.72,11.202
88.6,2998.72,11.199
88.7,2998.72,11.196
88.8,2998.72,11.193
88.9,2998.72,11.193
89.0,2998.72,11.193
89.1,2998.72,11.193
89.2,2998.72,11.193
89.3,2998.72,11.193
89.4,2998.72,11.193
89.5,2998.72,11.191
89.6,2998.72,11.191
89.7,2998.72,11.191
89.8,2998.72,11.194
89.9,2998.72,11.194
90.0,2998.72,11.194
90.1,2998.72,11.199857142857145
90.2,2998.72,11.205714285714286
90.3,2998.72,11.211571428571428
90.4,2998.72,11.217428571428572
90.5,2998.72,11.223285714285714
90.6,2998.72,11.229142857142858
90.7,2998.72,11.235
90.8,2998.72,11.235
90.9,2998.72,11.216
91.0,2998.72,11.216
